wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description,wine,food
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,Spanish,2,Poor,Heuristic pairing assessment.,Syrah/Shiraz,smoked sausage
Grenache,Red,charcuterie board,Salty Snack,French,3,Neutral,Heuristic pairing assessment.,Grenache,charcuterie board
Madeira,Fortified,lemon tart,Dessert,French,4,Good,Acidic wine balances acidic food.,Madeira,lemon tart
Cabernet Sauvignon,Red,roast lamb,Red Meat,Mexican,5,Excellent,Tannic red complements red meat fat.,Cabernet Sauvignon,roast lamb
Viognier,White,duck à l’orange,Poultry,Vietnamese,2,Poor,Heuristic pairing assessment.,Viognier,duck à l’orange
Pinot Noir,Red,citrus salad,Acidic,Argentinian,4,Good,Acidic wine balances acidic food.,Pinot Noir,citrus salad
Albariño,White,oysters,Seafood,Vietnamese,4,Good,Crisp acidity suits seafood.,Albariño,oysters
Sangiovese,Red,citrus salad,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Sangiovese,citrus salad
Pinot Noir,Red,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Pinot Noir,cheese platter
Grüner Veltliner,White,citrus salad,Acidic,American BBQ,4,Good,Acidic wine balances acidic food.,Grüner Veltliner,citrus salad
Grenache,Red,bacon burger,Pork,Argentinian,4,Good,Heuristic pairing assessment.,Grenache,bacon burger
Sangiovese,Red,chicken curry,Poultry,German,2,Poor,Heavy wine can dominate poultry.,Sangiovese,chicken curry
Sauternes,Dessert,lemon tart,Dessert,Spanish,4,Good,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,Sauternes,lemon tart
Cava,Sparkling,charcuterie board,Salty Snack,Italian,3,Neutral,Heuristic pairing assessment.,Cava,charcuterie board
Albariño,White,vegetable curry,Vegetarian,German,3,Neutral,Heuristic pairing assessment.,Albariño,vegetable curry
Viognier,White,alfredo pasta,Creamy,German,4,Good,Richer body matches creamy textures.,Viognier,alfredo pasta
Riesling (dry),White,Thai curry,Spicy,Mexican,3,Neutral,Heuristic pairing assessment.,Riesling (Dry),Thai curry
Chardonnay,White,bacon burger,Pork,Vietnamese,2,Poor,Heuristic pairing assessment.,Chardonnay,bacon burger
Syrah/Shiraz,Red,roast lamb,Red Meat,Thai,5,Excellent,Tannic red complements red meat fat.,Syrah/Shiraz,roast lamb
Viognier,White,roast chicken with herbs,Poultry,Middle Eastern,4,Good,Lighter wines fit poultry.,Viognier,roast chicken with herbs
Grüner Veltliner,White,shrimp scampi,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.,Grüner Veltliner,shrimp scampi
Nebbiolo,Red,Thai curry,Spicy,American BBQ,3,Neutral,Heuristic pairing assessment.,Nebbiolo,Thai curry
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Spanish,3,Neutral,Heuristic pairing assessment.,Grüner Veltliner,stir-fried tofu
Port,Fortified,cheesecake,Dessert,Middle Eastern,3,Neutral,Heuristic pairing assessment.,Port,cheesecake
Cabernet Sauvignon,Red,beef stew,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,beef stew
Viognier,White,chicken curry,Poultry,Vietnamese,4,Good,Lighter wines fit poultry.,Viognier,chicken curry
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Thai,3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,grilled burger
Ice Wine,Dessert,roast chicken with herbs,Poultry,German,2,Poor,Heavy wine can dominate poultry.,Ice Wine,roast chicken with herbs
Gewürztraminer,White,Indian vindaloo,Spicy,Thai,3,Neutral,Heuristic pairing assessment.,Gewürztraminer,Indian vindaloo
Pinot Noir,Red,stir-fried tofu,Vegetarian,French,3,Neutral,Heuristic pairing assessment.,Pinot Noir,stir-fried tofu
Merlot,Red,bacon burger,Pork,Thai,3,Neutral,Heuristic pairing assessment.,Merlot,bacon burger
Sangiovese,Red,mushroom risotto,Vegetarian,French,4,Good,Heuristic pairing assessment.,Sangiovese,mushroom risotto
Champagne,Sparkling,shrimp scampi,Seafood,French,4,Good,Crisp acidity suits seafood.,Champagne,shrimp scampi
Torrontés,White,Thai curry,Spicy,Moroccan,3,Neutral,Heuristic pairing assessment.,Torrontés,Thai curry
Sauternes,Dessert,grilled salmon,Seafood,German,3,Neutral,Tannic reds clash with delicate seafood.,Sauternes,grilled salmon
Madeira,Fortified,mac and cheese,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Madeira,mac and cheese
Ice Wine,Dessert,sorbet,Dessert,Ethiopian,4,Good,Sweet/sparkling pairs with dessert.,Ice Wine,sorbet
Ice Wine,Dessert,oysters,Seafood,Japanese,3,Neutral,Tannic reds clash with delicate seafood.,Ice Wine,oysters
Nebbiolo,Red,grilled ribeye,Red Meat,Thai,2,Poor,Heuristic pairing assessment.,Nebbiolo,grilled ribeye
Port,Fortified,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Port,cheese platter
Chardonnay,White,cream of mushroom soup,Creamy,Mexican,4,Good,Richer body matches creamy textures.,Chardonnay,cream of mushroom soup
Grenache,Red,olives and cheese,Salty Snack,Italian,3,Neutral,Heuristic pairing assessment.,Grenache,olives and cheese
Gewürztraminer,White,mac and cheese,Cheese,Mexican,4,Good,Heuristic pairing assessment.,Gewürztraminer,mac and cheese
